movieId,poster
70,"https://m.media-amazon.com/images/M/MV5BNGViNzJkZWYtYzYxNi00YTU3LTg4MWMtOGJmM2RmMGY2ZTU1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
71,"https://m.media-amazon.com/images/M/MV5BMGEwNGFmZmQtYTQxYS00N2M0LWI1MmQtMTg1OGY3ZmQ1NDM0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
72,"https://m.media-amazon.com/images/M/MV5BMzY1NDY3YjAtN2U0OS00NTdmLThmYjAtNzgwZGUxMDQzMzU0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
73,"https://m.media-amazon.com/images/M/MV5BYjFjODlhY2MtZWVhMy00NzYwLWFmZWEtYTU0OGViMDRjMmYwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
74,"https://m.media-amazon.com/images/M/MV5BNTYyNzdiYWQtYjNjNi00NmU0LWI5MDktY2NjMjA4NDQyNjk0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
75,"https://m.media-amazon.com/images/M/MV5BNGRhNTcxMDMtYTMyMi00ZTIxLThiOWUtMTgwZDA2Njk4YTFjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
76,"https://m.media-amazon.com/images/M/MV5BZGZkYTJhZmQtNTY0NC00OWI2LWIwODUtNTM2ZGQzZmE0ZjgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_UY268_CR9,0,182,268_AL_.jpg"
77,"https://m.media-amazon.com/images/M/MV5BOGY0ZWRhYWYtYzMxYy00MmUyLTkxNmQtZjZhYWRhNDdlNzQ4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
78,"https://m.media-amazon.com/images/M/MV5BMDEzMDU1NTMtOWEwYi00MGMxLTkzYzItYzdiYTcwNTdkNzhlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR95,0,182,268_AL_.jpg"
79,"https://m.media-amazon.com/images/M/MV5BOTUyYjgzNWYtOGY0OC00N2M5LWE3YTQtMjZlZGM4ZTg5M2I4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
80,"https://m.media-amazon.com/images/M/MV5BZmFlZWZkZTUtMGZkZS00NjlkLWIxNGMtZWI2OWZhZmI3OTY0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
81,"https://m.media-amazon.com/images/M/MV5BM2ZlYjA4NmItZTYxYy00MGFiLTg3MWUtNzZmYjE1ODZmMThjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
82,"https://m.media-amazon.com/images/M/MV5BNDlkNzgyZjgtNGNkZS00YjU1LTgwNGQtZmE1MDNkODk3NDg2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR88,0,182,268_AL_.jpg"
83,"https://m.media-amazon.com/images/M/MV5BZTI1MmZjNzUtMzNhNy00ZmFjLTg4ZjMtY2Q5ZDZjN2JkYTRkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
85,"https://m.media-amazon.com/images/M/MV5BNWQwODg2MjgtZTNiNy00MTY3LTg1NzItODdkZGE5Njk4Mzg2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
86,"https://m.media-amazon.com/images/M/MV5BNzdmZjgzMmQtNWNmYS00NTIzLTkxYjctNmUxYmJlMDAzZDk4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
87,"https://m.media-amazon.com/images/M/MV5BMzc0NzBiODgtZjM2NS00M2JlLWIyODItMmEwYzRlMTc0NjkxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
88,"https://m.media-amazon.com/images/M/MV5BNzk2YWYyYTMtMTNjNC00ZDExLWI4NzItNmI5MDM1Y2UyNTVmXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
89,"https://m.media-amazon.com/images/M/MV5BMDU2YjNjMzAtNzZmMi00MWNiLTlkNjEtYzA3ZTcwYmJiOTBkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_UY268_CR85,0,182,268_AL_.jpg"
92,"https://m.media-amazon.com/images/M/MV5BOTFmMTU3YmMtMmVlMi00MmM1LTk5MTYtOGU5Yzk0NTAwNWJkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
93,
94,"https://m.media-amazon.com/images/M/MV5BMTg1NmIzNTItMDg2MC00YTEwLThhZDAtZmY5NGVmOGMxZmU0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
95,"https://m.media-amazon.com/images/M/MV5BYTNkY2UwZDMtZThhYy00Y2NkLWI4MjEtM2ZmNjkxYjAwMDQ3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
96,"https://m.media-amazon.com/images/M/MV5BYzE1MmRiZjgtMmVmYi00MDQ2LTk2OTUtNjY5ODkyOWMzZDJkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
97,"https://m.media-amazon.com/images/M/MV5BMDI3MWNlNDItMDU0MC00YzkzLTgyZTktYTVhM2I3MjU3NjY3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
99,"https://m.media-amazon.com/images/M/MV5BYTc4MWM2MGQtMGQyZS00ZDZmLWEyMTEtYzU1Y2UyMDdiMWJiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
100,"https://m.media-amazon.com/images/M/MV5BZWI3NDRiOWUtMmZmYS00ODA0LThiNTItOWIzMjAxZGMwMTI3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
101,"https://m.media-amazon.com/images/M/MV5BYzYxNTRiNGItYzFmZC00Mjk4LWEyZTktNDY0ZTQ0ZDY0ZDc0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
102,"https://m.media-amazon.com/images/M/MV5BOTY4NzVkNGMtODMxNS00MTAwLWE4MmMtZTU3YTRlZTFmNmU5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
103,"https://m.media-amazon.com/images/M/MV5BNDgxYjBjY2QtYjg5Mi00MGI2LWFlZWUtNWI5MDAzOTMyOGM4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
104,"https://m.media-amazon.com/images/M/MV5BY2Y1MGI0Y2UtODA4Yy00ZTkzLWEwMGYtMzE2MWZjMWE3MjZkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR84,0,182,268_AL_.jpg"
105,"https://m.media-amazon.com/images/M/MV5BYTg2ZmIzNjUtNDJhOS00YmY4LTkxNzEtYTA1ODNkZGE4NmQ0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
106,"https://m.media-amazon.com/images/M/MV5BOTA0MTA3ZGUtMjEzOS00ZWI5LTg4M2YtMThlYjBiMWU5NzhlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
107,"https://m.media-amazon.com/images/M/MV5BMzY4OTZkYmEtYWNiYy00NWU5LTk5OTItODUwMjI2ZGY5NDhjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
108,"https://m.media-amazon.com/images/M/MV5BMDI4YmU1MjUtMGMyNi00NTM0LTliZDktYTk1YWMzNjlmMGQ3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR9,0,182,268_AL_.jpg"
110,"https://m.media-amazon.com/images/M/MV5BZGZkYTJhZmQtNTY0NC00OWI2LWIwODUtNTM2ZGQzZmE0ZjgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_UY268_CR9,0,182,268_AL_.jpg"
111,"https://m.media-amazon.com/images/M/MV5BMDUyMzcxN2ItZWYxOS00ZDE0LTkwYjAtNjFiMDVmYWY1YWU5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR9,0,182,268_AL_.jpg"
112,"https://m.media-amazon.com/images/M/MV5BZTkwNzFjYjUtNDhkMi00MWU4LThlZjktY2I4ZTUxYzU0OTZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR9,0,182,268_AL_.jpg"
